device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EB8F4AD3,2021-03-22,00:00:17,26.44,42.99,10.0,0.0,0.0
B827EBB32FBF,2021-03-22,00:00:24,25.81,44.43,32.0,0.0,0.0
B827EBC44A3E,2021-03-22,00:00:52,25.52,44.13,3.0,0.0,0.0
B827EBD93671,2021-03-22,00:00:54,21.69,55.67,42.0,0.0,0.0
B827EBAC19B5,2021-03-22,00:01:05,18.43,68.77,48.0,0.0,0.0
B827EB4D4017,2021-03-22,00:01:08,21.43,59.77,49.0,0.0,0.0
B827EB6733A4,2021-03-22,00:01:42,25.74,43.88,10.0,0.0,0.0
B827EB37A814,2021-03-22,00:01:49,22.38,50.13,6.0,0.0,0.0
B827EB8F4AD3,2021-03-22,00:05:27,26.47,43.02,10.0,0.0,0.0
B827EBB32FBF,2021-03-22,00:05:33,25.94,44.34,31.0,0.0,0.0
B827EBC44A3E,2021-03-22,00:06:00,25.54,44.21,3.0,0.0,0.0
B827EBD93671,2021-03-22,00:06:02,21.72,55.75,42.0,0.0,0.0
B827EBAC19B5,2021-03-22,00:06:14,18.34,69.57,50.0,0.0,0.0
B827EB6733A4,2021-03-22,00:06:53,25.75,43.99,11.0,0.0,0.0
B827EB37A814,2021-03-22,00:06:55,22.39,50.23,7.0,0.0,0.0
B827EB8F4AD3,2021-03-22,00:10:32,26.5,42.92,10.0,0.0,0.0
B827EBB32FBF,2021-03-22,00:10:38,25.94,44.32,32.0,0.0,0.0
B827EBC44A3E,2021-03-22,00:11:03,25.55,44.25,2.0,0.0,0.0
B827EBD93671,2021-03-22,00:11:08,21.69,55.46,42.0,0.0,0.0
B827EB4D4017,2021-03-22,00:11:23,21.38,58.59,49.0,0.0,0.0
B827EBAC19B5,2021-03-22,00:11:23,18.52,68.73,51.0,0.0,0.0
B827EB37A814,2021-03-22,00:11:57,22.42,50.36,6.0,0.0,0.0
B827EB6733A4,2021-03-22,00:11:57,25.8,43.96,10.0,0.0,0.0
B827EBB32FBF,2021-03-22,00:15:41,26.01,44.09,35.0,0.0,0.0
B827EBC44A3E,2021-03-22,00:16:04,25.64,44.12,4.0,0.0,0.0
B827EBD93671,2021-03-22,00:16:11,21.73,55.27,42.0,0.0,0.0
B827EB4D4017,2021-03-22,00:16:24,21.36,59.21,49.0,0.0,0.0
B827EBAC19B5,2021-03-22,00:16:26,18.5,68.11,48.0,0.0,0.0
B827EB37A814,2021-03-22,00:16:58,22.42,50.28,7.0,0.0,0.0
B827EB8F4AD3,2021-03-22,00:20:43,26.56,42.52,4.0,0.0,0.0
B827EBB32FBF,2021-03-22,00:20:48,25.92,44.38,32.0,0.0,0.0
B827EBC44A3E,2021-03-22,00:21:07,25.64,44.15,3.0,0.0,0.0
