device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EBC44A3E,2021-02-17,00:00:00,28.67,42.25,2.0,0.0,0.0
B827EBB32FBF,2021-02-17,00:01:13,27.26,41.22,20.0,0.0,0.0
B827EBE3E383,2021-02-17,00:01:20,31.14,38.22,22.0,0.0,0.0
B827EB4D4017,2021-02-17,00:02:27,21.34,55.64,31.0,0.0,0.0
B827EB6733A4,2021-02-17,00:02:28,28.13,42.97,6.0,0.0,0.0
B827EBD93671,2021-02-17,00:02:49,23.21,53.42,30.0,0.0,0.0
B827EBAC19B5,2021-02-17,00:03:56,19.55,64.57,32.0,0.0,0.0
B827EB8F4AD3,2021-02-17,00:04:56,26.7,46.55,5.0,0.0,0.0
B827EBC44A3E,2021-02-17,00:05:05,28.7,41.93,3.0,0.0,0.0
B827EBB32FBF,2021-02-17,00:06:16,27.22,41.07,18.0,0.0,0.0
B827EBE3E383,2021-02-17,00:06:26,31.14,38.21,21.0,0.0,0.0
B827EB4D4017,2021-02-17,00:07:29,21.47,55.82,32.0,0.0,0.0
B827EB6733A4,2021-02-17,00:07:30,28.15,42.89,7.0,0.0,0.0
B827EBD93671,2021-02-17,00:07:51,23.2,52.88,29.0,0.0,0.0
B827EBAC19B5,2021-02-17,00:09:01,19.66,62.85,31.0,0.0,0.0
B827EB8F4AD3,2021-02-17,00:10:03,26.83,46.14,4.0,0.0,0.0
B827EBC44A3E,2021-02-17,00:10:12,28.63,42.02,3.0,0.0,0.0
B827EBB32FBF,2021-02-17,00:11:21,27.2,41.07,22.0,0.0,0.0
B827EBE3E383,2021-02-17,00:11:30,31.13,38.18,24.0,0.0,0.0
B827EB4D4017,2021-02-17,00:12:33,21.65,55.03,33.0,0.0,0.0
B827EB6733A4,2021-02-17,00:12:35,28.13,42.79,8.0,0.0,0.0
B827EBD93671,2021-02-17,00:12:56,23.14,52.58,25.0,0.0,0.0
B827EBAC19B5,2021-02-17,00:14:05,19.44,64.08,29.0,0.0,0.0
B827EB8F4AD3,2021-02-17,00:15:08,27.08,45.59,5.0,0.0,0.0
B827EBC44A3E,2021-02-17,00:15:16,28.61,41.8,4.0,0.0,0.0
B827EBB32FBF,2021-02-17,00:16:24,27.16,41.13,19.0,0.0,0.0
B827EBE3E383,2021-02-17,00:16:34,31.14,38.21,21.0,0.0,0.0
B827EB4D4017,2021-02-17,00:17:36,21.83,54.77,32.0,0.0,0.0
B827EB6733A4,2021-02-17,00:17:37,28.1,42.55,9.0,0.0,0.0
B827EBD93671,2021-02-17,00:17:58,23.11,52.13,28.0,0.0,0.0
