device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EB6733A4,2021-01-15,00:00:04,24.87,39.88,1.0,0.0,0.0
B827EB4D4017,2021-01-15,00:01:34,19.47,56.51,18.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:02:02,26.88,36.34,1.0,0.0,0.0
B827EBE3E383,2021-01-15,00:03:20,26.91,36.69,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:03:42,23.24,43.29,8.0,0.0,0.0
B827EBD93671,2021-01-15,00:04:22,19.14,58.03,16.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:04:30,15.46,72.16,22.0,0.0,0.0
B827EB6733A4,2021-01-15,00:05:06,24.87,39.98,2.0,0.0,0.0
B827EB4D4017,2021-01-15,00:06:34,19.53,56.6,16.0,0.0,0.0
B827EBE3E383,2021-01-15,00:08:22,26.9,36.66,7.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:08:45,23.19,43.66,8.0,0.0,0.0
B827EBD93671,2021-01-15,00:09:24,19.28,58.53,19.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:09:32,15.56,72.69,26.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:09:35,26.23,37.54,1.0,0.0,0.0
B827EB6733A4,2021-01-15,00:10:08,24.85,40.04,3.0,0.0,0.0
B827EB4D4017,2021-01-15,00:11:37,19.58,56.86,20.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:12:04,27.12,35.91,1.0,0.0,0.0
B827EBE3E383,2021-01-15,00:13:23,26.88,36.73,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:13:46,23.27,43.84,12.0,0.0,0.0
B827EBD93671,2021-01-15,00:14:26,19.45,58.29,20.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:14:33,15.71,72.68,25.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:14:36,26.11,37.65,2.0,0.0,0.0
B827EB6733A4,2021-01-15,00:15:09,24.89,40.08,2.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:17:07,27.22,35.82,1.0,0.0,0.0
B827EBE3E383,2021-01-15,00:18:24,26.91,36.69,7.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:18:46,23.34,44.03,15.0,0.0,0.0
B827EBD93671,2021-01-15,00:19:28,19.62,58.03,20.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:19:34,15.74,73.14,28.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:19:38,26.07,37.73,1.0,0.0,0.0
B827EB6733A4,2021-01-15,00:20:10,24.85,40.15,2.0,0.0,0.0
B827EB4D4017,2021-01-15,00:21:41,19.75,57.07,23.0,0.0,0.0
B827EBE3E383,2021-01-15,00:23:25,26.91,36.8,7.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:23:48,23.19,44.37,12.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:24:36,15.88,73.1,26.0,0.0,0.0
B827EB6733A4,2021-01-15,00:25:13,24.89,40.13,2.0,0.0,0.0
B827EB4D4017,2021-01-15,00:26:43,19.82,57.13,27.0,0.0,0.0
B827EBE3E383,2021-01-15,00:28:27,26.91,36.71,8.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:28:50,23.24,44.46,12.0,0.0,0.0
B827EBD93671,2021-01-15,00:29:32,19.92,58.0,18.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:29:38,15.95,72.94,27.0,0.0,0.0
B827EB6733A4,2021-01-15,00:30:15,24.85,40.29,3.0,0.0,0.0
B827EB4D4017,2021-01-15,00:31:44,19.89,56.96,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:32:12,27.44,35.6,2.0,0.0,0.0
B827EBE3E383,2021-01-15,00:33:28,26.91,36.83,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:33:51,23.36,44.42,13.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:34:39,16.09,72.23,28.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:34:41,25.92,38.26,1.0,0.0,0.0
B827EB6733A4,2021-01-15,00:35:17,24.87,40.29,1.0,0.0,0.0
B827EB4D4017,2021-01-15,00:36:45,19.91,57.15,25.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:37:14,27.42,35.74,2.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:38:52,23.45,44.27,13.0,0.0,0.0
B827EBD93671,2021-01-15,00:39:36,20.17,57.57,18.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:39:40,16.29,71.62,28.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:39:42,25.95,38.31,2.0,0.0,0.0
B827EB6733A4,2021-01-15,00:40:19,24.85,40.48,3.0,0.0,0.0
B827EB4D4017,2021-01-15,00:41:47,19.95,57.55,25.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:42:15,27.37,35.79,1.0,0.0,0.0
B827EBE3E383,2021-01-15,00:43:31,26.93,36.82,8.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:43:54,23.51,44.4,11.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:44:41,16.34,69.68,27.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:44:43,25.95,38.39,1.0,0.0,0.0
B827EB6733A4,2021-01-15,00:45:20,24.87,40.57,5.0,0.0,0.0
B827EB4D4017,2021-01-15,00:46:48,20.04,57.14,25.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:47:17,27.39,35.84,2.0,0.0,0.0
B827EBE3E383,2021-01-15,00:48:32,26.93,36.86,8.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:48:56,23.61,44.4,13.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:49:42,16.46,69.58,25.0,0.0,0.0
B827EBC44A3E,2021-01-15,00:49:45,25.93,38.45,1.0,0.0,0.0
B827EB6733A4,2021-01-15,00:50:23,24.91,40.56,3.0,0.0,0.0
B827EB4D4017,2021-01-15,00:51:49,20.08,56.76,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:52:18,27.46,35.84,1.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:53:57,23.56,44.45,18.0,0.0,0.0
B827EBD93671,2021-01-15,00:54:40,20.41,55.79,17.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:54:44,16.6,68.93,25.0,0.0,0.0
B827EB6733A4,2021-01-15,00:55:25,24.88,40.64,3.0,0.0,0.0
B827EB4D4017,2021-01-15,00:56:50,20.18,56.59,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,00:57:20,27.47,35.85,2.0,0.0,0.0
B827EBE3E383,2021-01-15,00:58:35,26.94,36.9,8.0,0.0,0.0
B827EBB32FBF,2021-01-15,00:58:58,23.46,44.46,19.0,0.0,0.0
B827EBAC19B5,2021-01-15,00:59:45,16.84,67.97,27.0,0.0,0.0
B827EB6733A4,2021-01-15,01:00:27,24.88,40.7,2.0,0.0,0.0
B827EB4D4017,2021-01-15,01:01:51,20.22,56.36,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:02:21,27.51,35.77,2.0,0.0,0.0
B827EBE3E383,2021-01-15,01:03:36,26.91,36.92,8.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:04:00,23.44,44.74,15.0,0.0,0.0
B827EBD93671,2021-01-15,01:04:43,20.58,56.11,17.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:04:46,16.96,68.21,24.0,0.0,0.0
B827EB6733A4,2021-01-15,01:05:27,24.88,40.84,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:06:52,20.27,56.01,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:07:22,27.6,35.74,2.0,0.0,0.0
B827EBE3E383,2021-01-15,01:08:39,26.94,36.91,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:09:03,23.34,44.87,14.0,0.0,0.0
B827EBD93671,2021-01-15,01:09:45,20.68,56.22,20.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:09:49,17.06,68.28,23.0,0.0,0.0
B827EB6733A4,2021-01-15,01:10:29,24.89,40.84,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:11:53,20.34,56.0,25.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:12:24,27.61,35.84,1.0,0.0,0.0
B827EBE3E383,2021-01-15,01:13:41,26.97,36.9,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:14:04,23.27,45.12,15.0,0.0,0.0
B827EBD93671,2021-01-15,01:14:46,20.83,55.69,21.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:14:50,17.4,67.97,26.0,0.0,0.0
B827EB6733A4,2021-01-15,01:15:30,24.93,40.83,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:16:54,20.44,55.74,25.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:17:25,27.63,36.05,2.0,0.0,0.0
B827EBE3E383,2021-01-15,01:18:42,26.95,36.93,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:19:05,23.24,45.25,13.0,0.0,0.0
B827EBD93671,2021-01-15,01:19:47,20.91,55.38,22.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:19:52,17.44,67.99,25.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:19:54,25.83,38.79,1.0,0.0,0.0
B827EB6733A4,2021-01-15,01:20:32,24.88,41.01,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:21:55,20.54,55.75,27.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:22:26,27.67,36.07,1.0,0.0,0.0
B827EBE3E383,2021-01-15,01:23:43,26.95,36.95,10.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:24:06,23.4,45.08,11.0,0.0,0.0
B827EBD93671,2021-01-15,01:24:48,20.94,55.4,22.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:24:54,17.51,67.46,23.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:24:56,25.75,39.04,2.0,0.0,0.0
B827EB6733A4,2021-01-15,01:25:33,24.89,41.07,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:26:57,20.59,55.41,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:27:28,27.7,36.06,1.0,0.0,0.0
B827EBE3E383,2021-01-15,01:28:45,26.95,36.95,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:29:08,23.38,45.17,11.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:29:57,17.71,68.28,23.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:29:58,25.73,39.1,1.0,0.0,0.0
B827EB6733A4,2021-01-15,01:30:34,24.88,41.21,4.0,0.0,0.0
B827EB4D4017,2021-01-15,01:31:58,20.7,55.69,22.0,0.0,0.0
B827EBE3E383,2021-01-15,01:33:47,27.0,37.01,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:34:11,23.4,45.29,11.0,0.0,0.0
B827EBD93671,2021-01-15,01:34:52,21.1,55.69,19.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:34:59,17.88,67.81,23.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:34:59,25.71,39.27,2.0,0.0,0.0
B827EB6733A4,2021-01-15,01:35:36,24.89,41.22,4.0,0.0,0.0
B827EB4D4017,2021-01-15,01:36:59,20.77,55.5,20.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:37:32,27.67,36.0,1.0,0.0,0.0
B827EBE3E383,2021-01-15,01:38:51,26.98,37.0,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:39:13,23.49,45.55,15.0,0.0,0.0
B827EBD93671,2021-01-15,01:39:54,21.24,56.44,25.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:40:01,18.1,67.9,26.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:40:01,25.64,39.45,1.0,0.0,0.0
B827EB6733A4,2021-01-15,01:40:38,24.85,41.33,1.0,0.0,0.0
B827EB4D4017,2021-01-15,01:42:01,20.85,56.15,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:42:34,27.64,36.13,1.0,0.0,0.0
B827EBE3E383,2021-01-15,01:43:53,26.98,37.02,11.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:44:15,23.4,45.81,17.0,0.0,0.0
B827EBD93671,2021-01-15,01:44:55,21.27,56.24,20.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:45:02,25.59,39.67,1.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:45:03,18.24,67.89,24.0,0.0,0.0
B827EB6733A4,2021-01-15,01:45:39,24.88,41.43,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:47:03,20.93,55.68,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:47:35,27.64,36.24,2.0,0.0,0.0
B827EBE3E383,2021-01-15,01:48:56,26.98,37.05,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:49:18,23.36,45.92,13.0,0.0,0.0
B827EBAC19B5,2021-01-15,01:50:06,18.52,65.47,24.0,0.0,0.0
B827EB4D4017,2021-01-15,01:52:06,21.02,55.58,26.0,0.0,0.0
B827EBE3E383,2021-01-15,01:53:58,27.02,37.09,9.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:54:20,23.4,45.98,11.0,0.0,0.0
B827EBC44A3E,2021-01-15,01:55:08,25.64,39.88,1.0,0.0,0.0
B827EB6733A4,2021-01-15,01:55:44,24.93,41.54,3.0,0.0,0.0
B827EB4D4017,2021-01-15,01:57:07,21.12,55.72,23.0,0.0,0.0
B827EB8F4AD3,2021-01-15,01:57:38,27.57,36.46,1.0,0.0,0.0
B827EBE3E383,2021-01-15,01:59:00,27.0,37.14,10.0,0.0,0.0
B827EBB32FBF,2021-01-15,01:59:22,23.37,46.39,15.0,0.0,0.0
B827EBD93671,2021-01-15,02:00:01,21.46,56.03,21.0,0.0,0.0
B827EBC44A3E,2021-01-15,02:00:10,25.72,39.81,1.0,0.0,0.0
B827EB6733A4,2021-01-15,02:00:46,24.89,41.62,3.0,0.0,0.0
B827EB4D4017,2021-01-15,02:02:08,21.21,55.59,28.0,0.0,0.0
B827EB8F4AD3,2021-01-15,02:02:40,27.6,36.45,2.0,0.0,0.0
B827EBE3E383,2021-01-15,02:04:02,27.01,37.13,10.0,0.0,0.0
B827EBB32FBF,2021-01-15,02:04:23,23.45,46.31,14.0,0.0,0.0
B827EBD93671,2021-01-15,02:05:02,21.56,56.89,20.0,0.0,0.0
B827EB6733A4,2021-01-15,02:05:48,24.95,41.62,3.0,0.0,0.0
B827EB4D4017,2021-01-15,02:07:09,21.3,55.62,23.0,0.0,0.0
B827EB8F4AD3,2021-01-15,02:07:41,27.59,36.57,1.0,0.0,0.0
B827EBE3E383,2021-01-15,02:09:03,27.02,37.15,9.0,0.0,0.0
B827EBD93671,2021-01-15,02:10:04,21.65,56.62,21.0,0.0,0.0
B827EBAC19B5,2021-01-15,02:10:13,19.73,63.82,26.0,0.0,0.0
B827EB6733A4,2021-01-15,02:10:50,24.91,41.6,3.0,0.0,0.0
B827EB4D4017,2021-01-15,02:12:11,21.36,55.38,24.0,0.0,0.0
B827EB8F4AD3,2021-01-15,02:12:42,27.7,36.36,1.0,0.0,0.0
B827EBE3E383,2021-01-15,02:14:05,27.01,37.21,8.0,0.0,0.0
B827EBB32FBF,2021-01-15,02:14:27,23.44,47.02,20.0,0.0,0.0
