device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EBC44A3E,2021-12-13,00:00:33,25.14,53.73,0.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:00:39,26.87,47.68,0.0,0.0,0.0
B827EB37A814,2021-12-13,00:02:33,26.14,52.74,2.0,0.0,0.0
B827EB4D4017,2021-12-13,00:02:47,24.34,65.04,9.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:03:48,26.12,52.72,2.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:04:22,28.78,42.53,0.0,0.0,0.0
B827EBC44A3E,2021-12-13,00:05:33,25.1,54.79,1.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:05:44,26.78,49.23,1.0,0.0,0.0
B827EB37A814,2021-12-13,00:07:33,26.13,52.68,0.0,0.0,0.0
B827EB4D4017,2021-12-13,00:07:48,24.34,64.76,10.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:08:49,26.06,52.86,1.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:09:23,28.79,42.7,0.0,0.0,0.0
B827EBC44A3E,2021-12-13,00:10:34,25.09,55.44,0.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:10:44,26.78,49.4,1.0,0.0,0.0
B827EB37A814,2021-12-13,00:12:34,26.2,52.51,2.0,0.0,0.0
B827EB4D4017,2021-12-13,00:12:48,24.35,64.19,11.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:13:49,26.08,52.74,1.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:14:23,28.8,42.7,0.0,0.0,0.0
B827EBC44A3E,2021-12-13,00:15:35,25.13,55.54,2.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:15:45,26.81,49.35,1.0,0.0,0.0
B827EB37A814,2021-12-13,00:17:35,26.26,52.36,3.0,0.0,0.0
B827EB4D4017,2021-12-13,00:17:49,24.24,64.1,11.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:18:50,26.05,52.77,1.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:19:24,28.79,42.81,0.0,0.0,0.0
B827EBC44A3E,2021-12-13,00:20:35,25.14,55.65,3.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:20:46,26.81,49.43,1.0,0.0,0.0
B827EB37A814,2021-12-13,00:22:35,26.31,52.38,2.0,0.0,0.0
B827EB4D4017,2021-12-13,00:22:49,24.22,65.56,11.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:23:51,26.13,52.7,1.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:24:25,28.8,42.79,0.0,0.0,0.0
B827EBC44A3E,2021-12-13,00:25:36,25.21,55.46,2.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:25:46,26.81,49.47,1.0,0.0,0.0
B827EB37A814,2021-12-13,00:27:36,26.35,52.41,3.0,0.0,0.0
B827EB4D4017,2021-12-13,00:27:50,24.28,65.04,9.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:28:51,26.22,52.5,1.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:29:25,28.8,42.83,0.0,0.0,0.0
B827EBC44A3E,2021-12-13,00:30:37,25.27,55.29,2.0,0.0,0.0
B827EB8F4AD3,2021-12-13,00:30:47,26.85,49.37,1.0,0.0,0.0
B827EB37A814,2021-12-13,00:32:37,26.41,52.7,3.0,0.0,0.0
B827EB4D4017,2021-12-13,00:32:51,24.36,65.07,9.0,0.0,0.0
B827EBCBB4B4,2021-12-13,00:33:52,26.4,51.97,2.0,0.0,0.0
B827EBAF88E3,2021-12-13,00:34:26,28.89,42.75,0.0,0.0,0.0
