device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EBE3E383,2021-02-02,00:00:23,29.04,38.26,26.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:00:33,26.01,44.02,36.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:01:55,25.42,44.57,13.0,0.0,0.0
B827EBD93671,2021-02-02,00:01:57,22.18,56.3,48.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:02:38,19.69,66.97,52.0,0.0,0.0
B827EB4D4017,2021-02-02,00:03:20,22.04,57.65,51.0,0.0,0.0
B827EB6733A4,2021-02-02,00:03:33,26.4,42.48,16.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:05:01,26.03,43.46,5.0,0.0,0.0
B827EBE3E383,2021-02-02,00:05:24,29.04,38.24,26.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:05:34,25.98,44.3,35.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:06:57,25.45,44.6,12.0,0.0,0.0
B827EBD93671,2021-02-02,00:06:58,22.24,56.44,45.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:07:42,19.82,66.64,54.0,0.0,0.0
B827EB4D4017,2021-02-02,00:08:22,22.12,57.74,50.0,0.0,0.0
B827EB6733A4,2021-02-02,00:08:36,26.42,42.47,17.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:10:03,26.03,43.48,5.0,0.0,0.0
B827EBE3E383,2021-02-02,00:10:25,29.02,38.25,27.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:10:37,25.91,44.27,37.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:11:58,25.49,44.71,10.0,0.0,0.0
B827EBD93671,2021-02-02,00:12:00,22.28,56.73,46.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:12:45,19.54,67.86,50.0,0.0,0.0
B827EB4D4017,2021-02-02,00:13:23,22.19,57.06,51.0,0.0,0.0
B827EB6733A4,2021-02-02,00:13:37,26.4,42.62,15.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:15:06,26.04,43.44,7.0,0.0,0.0
B827EBE3E383,2021-02-02,00:15:26,29.02,38.23,29.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:15:37,25.87,44.53,36.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:16:59,25.29,45.12,9.0,0.0,0.0
B827EBD93671,2021-02-02,00:17:01,22.34,56.79,46.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:17:47,19.79,66.33,50.0,0.0,0.0
B827EB4D4017,2021-02-02,00:18:25,22.19,57.13,48.0,0.0,0.0
B827EB6733A4,2021-02-02,00:18:39,26.42,42.58,16.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:20:08,25.95,43.75,7.0,0.0,0.0
B827EBE3E383,2021-02-02,00:20:27,29.02,38.22,28.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:20:39,25.92,44.46,36.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:22:01,25.31,45.23,10.0,0.0,0.0
B827EBD93671,2021-02-02,00:22:02,22.42,56.65,44.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:22:48,19.84,66.67,49.0,0.0,0.0
B827EB4D4017,2021-02-02,00:23:26,22.27,57.09,48.0,0.0,0.0
B827EB6733A4,2021-02-02,00:23:40,26.43,42.62,17.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:25:10,25.89,43.87,8.0,0.0,0.0
B827EBE3E383,2021-02-02,00:25:28,29.04,38.26,26.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:25:40,25.92,44.55,33.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:27:02,25.5,44.95,9.0,0.0,0.0
B827EBD93671,2021-02-02,00:27:04,22.43,56.7,45.0,0.0,0.0
B827EBAF88E3,2021-02-02,00:27:17,28.26,38.59,1.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:27:49,19.91,66.74,48.0,0.0,0.0
B827EB4D4017,2021-02-02,00:28:28,22.35,56.89,50.0,0.0,0.0
B827EB6733A4,2021-02-02,00:28:42,26.44,42.75,16.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:30:11,25.83,43.97,8.0,0.0,0.0
B827EBE3E383,2021-02-02,00:30:30,29.04,38.33,27.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:32:03,25.6,44.71,11.0,0.0,0.0
B827EBD93671,2021-02-02,00:32:06,22.46,56.69,45.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:32:50,20.36,64.93,48.0,0.0,0.0
B827EB4D4017,2021-02-02,00:33:29,22.41,56.54,50.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:35:14,25.83,44.02,7.0,0.0,0.0
B827EBE3E383,2021-02-02,00:35:31,29.05,38.3,28.0,0.0,0.0
B827EBB32FBF,2021-02-02,00:35:44,25.91,44.84,34.0,0.0,0.0
B827EB8F4AD3,2021-02-02,00:37:05,25.76,44.44,11.0,0.0,0.0
B827EBD93671,2021-02-02,00:37:07,22.45,56.66,45.0,0.0,0.0
B827EBAC19B5,2021-02-02,00:37:52,20.24,65.38,48.0,0.0,0.0
B827EB4D4017,2021-02-02,00:38:30,22.51,56.95,49.0,0.0,0.0
B827EBC44A3E,2021-02-02,00:40:16,25.86,44.02,7.0,0.0,0.0
B827EBE3E383,2021-02-02,00:40:32,29.06,38.32,28.0,0.0,0.0
