device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EBD93671,2021-06-25,00:01:24,28.87,75.15,14.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:01:51,31.96,57.26,6.0,0.0,0.0
B827EB4D4017,2021-06-25,00:04:50,28.46,77.65,4.0,0.0,0.0
B827EBD93671,2021-06-25,00:06:28,28.89,75.1,14.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:07:01,32.04,57.06,6.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:08:05,26.36,48.85,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:10:02,28.47,77.72,4.0,0.0,0.0
B827EBD93671,2021-06-25,00:11:36,28.89,75.36,13.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:12:08,32.04,57.32,6.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:13:12,26.36,48.52,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:15:07,28.44,78.07,3.0,0.0,0.0
B827EBD93671,2021-06-25,00:16:39,28.87,75.3,13.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:17:11,31.99,57.38,5.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:18:17,26.35,48.93,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:20:12,28.47,78.02,2.0,0.0,0.0
B827EB37A814,2021-06-25,00:20:52,24.37,51.29,1.0,0.0,0.0
B827EBD93671,2021-06-25,00:21:42,28.87,75.26,13.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:22:16,32.07,57.03,7.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:23:21,26.36,48.67,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:25:16,28.48,78.13,4.0,0.0,0.0
B827EBD93671,2021-06-25,00:26:45,28.86,75.39,14.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:27:20,32.09,57.7,6.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:28:24,26.37,48.64,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:30:19,28.48,78.15,3.0,0.0,0.0
B827EB37A814,2021-06-25,00:31:00,24.37,53.66,1.0,0.0,0.0
B827EBD93671,2021-06-25,00:31:48,28.81,75.71,12.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:32:23,32.11,57.51,4.0,0.0,0.0
B827EBC44A3E,2021-06-25,00:32:42,28.68,67.57,1.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:33:29,26.35,48.05,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:35:23,28.53,78.42,4.0,0.0,0.0
B827EB37A814,2021-06-25,00:36:04,24.51,54.09,1.0,0.0,0.0
B827EBD93671,2021-06-25,00:36:50,28.84,75.77,15.0,0.0,0.0
B827EBB32FBF,2021-06-25,00:37:27,32.14,57.6,6.0,0.0,0.0
B827EBCBB4B4,2021-06-25,00:38:32,26.22,49.76,1.0,0.0,0.0
B827EB4D4017,2021-06-25,00:40:27,28.55,78.3,4.0,0.0,0.0
B827EB37A814,2021-06-25,00:41:10,24.68,53.55,1.0,0.0,0.0
B827EBD93671,2021-06-25,00:41:53,28.84,76.09,14.0,0.0,0.0
