device_id,date,time,temperature,RH,PM2.5,lat,lon
B827EBD93671,2021-05-31,00:03:27,29.38,71.83,2.0,0.0,0.0
B827EBD93671,2021-05-31,00:08:28,29.38,71.8,2.0,0.0,0.0
B827EBD93671,2021-05-31,00:13:28,29.38,71.93,3.0,0.0,0.0
B827EB4D4017,2021-05-31,00:15:17,28.65,75.8,1.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:19:24,31.85,59.24,1.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:24:26,31.95,59.14,2.0,0.0,0.0
B827EB4D4017,2021-05-31,00:25:23,28.71,76.04,1.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:29:27,31.91,59.26,1.0,0.0,0.0
B827EB4D4017,2021-05-31,00:30:24,28.74,75.44,3.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:34:28,31.94,58.99,2.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:39:29,31.95,58.81,5.0,0.0,0.0
B827EB4D4017,2021-05-31,00:40:25,28.64,75.48,4.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:44:30,31.98,58.59,5.0,0.0,0.0
B827EB4D4017,2021-05-31,00:45:26,28.64,75.14,3.0,0.0,0.0
B827EB37A814,2021-05-31,00:48:50,27.49,55.52,1.0,0.0,0.0
B827EBB32FBF,2021-05-31,00:49:31,31.94,58.84,4.0,0.0,0.0
B827EB4D4017,2021-05-31,00:50:26,28.58,75.39,1.0,0.0,0.0
B827EBD93671,2021-05-31,00:53:34,29.39,72.11,5.0,0.0,0.0
B827EB4D4017,2021-05-31,00:55:27,28.53,75.6,1.0,0.0,0.0
B827EBD93671,2021-05-31,00:58:35,29.36,71.45,3.0,0.0,0.0
B827EB4D4017,2021-05-31,01:00:28,28.53,75.7,1.0,0.0,0.0
B827EBD93671,2021-05-31,01:03:36,29.31,71.4,5.0,0.0,0.0
B827EBD93671,2021-05-31,01:08:49,29.31,71.81,7.0,0.0,0.0
B827EBB32FBF,2021-05-31,01:09:33,31.85,59.97,3.0,0.0,0.0
B827EB4D4017,2021-05-31,01:10:29,28.6,75.37,2.0,0.0,0.0
B827EBD93671,2021-05-31,01:13:50,29.29,71.85,6.0,0.0,0.0
B827EBB32FBF,2021-05-31,01:14:34,31.83,60.09,5.0,0.0,0.0
B827EB4D4017,2021-05-31,01:15:30,28.63,75.31,1.0,0.0,0.0
B827EBD93671,2021-05-31,01:18:51,29.31,71.67,6.0,0.0,0.0
B827EB37A814,2021-05-31,01:18:54,27.86,54.37,1.0,0.0,0.0
B827EBB32FBF,2021-05-31,01:19:35,31.8,60.19,4.0,0.0,0.0
B827EB4D4017,2021-05-31,01:20:30,28.61,74.84,2.0,0.0,0.0
B827EBD93671,2021-05-31,01:23:51,29.34,71.62,6.0,0.0,0.0
B827EB37A814,2021-05-31,01:23:55,27.9,55.55,1.0,0.0,0.0
B827EBB32FBF,2021-05-31,01:24:35,31.83,60.6,5.0,0.0,0.0
